iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
2,0,0,7920,0,0,4120,5.682615756988525,269.26165771484375,-0.0038473736494779587,0.0,0.0,0.0,0.0,7575,-109.59834406219342,-109.8743585911744,-118.6058288172173,-100.51482251986054
3,0,0,11880,0,0,4807,5.681646823883057,186.74964904785156,-0.0027719871141016483,0.0,0.0,0.0,0.0,7575,-108.41810577422387,-106.6837091383425,-123.0039540966805,-99.0836492539874
4,0,0,15840,0,0,5354,5.680520534515381,104.02098083496094,-0.003368038684129715,0.0,0.0,0.0,0.0,7575,-108.7050352703673,-107.89214401043827,-124.63418968244021,-98.52485695047801
5,0,0,19800,0,0,5689,5.679757118225098,33.34572219848633,-0.0050652846693992615,0.0,0.0,0.0,0.0,7575,-109.26244759256022,-108.60742646949366,-124.63418968244021,-98.52485695047801
6,0,0,23760,0,0,5942,5.680605411529541,28.077165603637695,-0.004278889857232571,0.0,0.0,0.0,0.0,7575,-109.07386531098457,-107.57765128380495,-130.5341044111643,-97.10385894240811
7,0,0,27720,0,0,6086,5.67827844619751,14.276936531066895,-0.010249580256640911,0.0,0.0,0.0,0.0,7575,-109.32770151595527,-107.18487723026239,-137.27286245394143,-97.10385894240811
8,0,0,31680,0,0,6283,5.674668788909912,12.573317527770996,-0.006052607670426369,0.0,0.0,0.0,0.0,7575,-109.54501872603181,-107.39059244101028,-137.27286245394143,-97.10385894240811
9,0,0,35640,0,0,6431,5.671269416809082,7.623936653137207,-0.011671830900013447,0.0,0.0,0.0,0.0,7575,-110.0530633635237,-108.67822748867889,-137.27286245394143,-97.10385894240811
10,0,0,39600,0,0,6401,5.66373872756958,7.074589252471924,-0.010092630051076412,0.0,0.0,0.0,0.0,7575,-110.13370917999667,-108.69986785282597,-137.27286245394143,-97.10385894240811
11,0,0,43560,0,0,6450,5.659292221069336,4.254537105560303,-0.012547530233860016,0.0,0.0,0.0,0.0,7575,-110.08006946849201,-108.69986785282597,-137.27286245394143,-97.10385894240811
12,0,0,47520,0,0,6508,5.649751663208008,1.2053788900375366,-0.012474974617362022,0.0,0.0,0.0,0.0,7575,-110.2041709065301,-108.85015389654195,-137.27286245394143,-97.10385894240811
13,0,0,51480,0,0,6548,5.617706298828125,0.22446070611476898,-0.014486127533018589,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
14,0,0,55440,0,0,6575,5.579887866973877,0.11966347694396973,-0.015335976146161556,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
15,0,0,59400,0,0,6630,5.546008110046387,0.07610819488763809,-0.01639978401362896,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
16,0,0,63360,0,0,6595,5.50838565826416,0.06256469339132309,-0.012196579948067665,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
17,0,0,67320,0,0,6565,5.476299285888672,0.05513260141015053,-0.014921166934072971,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
18,0,0,71280,0,0,6558,5.439851760864258,0.08400853723287582,-0.013743863441050053,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
19,0,0,75240,0,0,6564,5.411135673522949,0.04554682597517967,-0.014633992686867714,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
20,0,0,79200,0,0,6522,5.367785453796387,0.046741288155317307,-0.014059409499168396,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
21,0,0,83160,0,0,6470,5.338871955871582,0.05045014247298241,-0.017223795875906944,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
22,0,0,87120,0,0,6435,5.306646347045898,0.057840269058942795,-0.015370876528322697,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
23,0,0,91080,0,0,6394,5.2769293785095215,0.04613306000828743,-0.01650565303862095,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
24,0,0,95040,0,0,6362,5.2487382888793945,0.06640546768903732,-0.012705008499324322,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
25,0,0,99000,0,0,6327,5.2315826416015625,0.05843038111925125,-0.018822314217686653,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
26,0,0,102960,0,0,6293,5.204204082489014,0.06441637128591537,-0.019245456904172897,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
27,0,0,106920,0,0,6243,5.174492835998535,0.09159793704748154,-0.018368426710367203,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
28,0,0,110880,0,0,6208,5.150954723358154,0.13424476981163025,-0.015761224552989006,0.0,0.0,0.0,0.0,7575,-110.1567880103223,-108.69986785282597,-137.27286245394143,-97.10385894240811
29,0,0,114840,0,0,6179,5.139464378356934,0.5458717346191406,-0.007896296679973602,0.0,0.0,0.0,0.0,7575,-110.47634206075375,-108.85015389654195,-137.56793666813834,-97.10385894240811
30,0,0,118800,0,0,6136,5.135218143463135,0.4138360917568207,-0.013189165852963924,0.0,0.0,0.0,0.0,7575,-110.47634206075375,-108.85015389654195,-137.56793666813834,-97.10385894240811
31,0,0,122760,0,0,6099,5.129479885101318,1.5937970876693726,-0.00746265659108758,0.0,0.0,0.0,0.0,7575,-110.47634206075375,-108.85015389654195,-137.56793666813834,-97.10385894240811
32,0,0,126720,0,0,6085,5.130223751068115,1.0271154642105103,-0.008257036097347736,0.0,0.0,0.0,0.0,7575,-111.21144025687127,-109.00638962898714,-155.35841072480744,-97.10385894240811
33,0,0,130680,0,0,6050,5.13486385345459,1.2670903205871582,-0.010846900753676891,0.0,0.0,0.0,0.0,7575,-111.55845097991752,-108.85015389654195,-155.35841072480744,-97.10385894240811
34,0,0,134640,0,0,6020,5.135336875915527,1.1702296733856201,-0.008921848610043526,0.0,0.0,0.0,0.0,7575,-111.87914371793332,-108.85015389654195,-163.11731824433588,-97.10385894240811
35,0,0,138600,0,0,5992,5.1342034339904785,0.32697758078575134,-0.01868887059390545,0.0,0.0,0.0,0.0,7575,-111.87914371793332,-108.85015389654195,-163.11731824433588,-97.10385894240811
36,0,0,142560,0,0,5973,5.126831531524658,0.4582272469997406,-0.011639939621090889,0.0,0.0,0.0,0.0,7575,-111.87914371793332,-108.85015389654195,-163.11731824433588,-97.10385894240811
37,0,0,146520,0,0,5944,5.118707180023193,0.30510881543159485,-0.016238508746027946,0.0,0.0,0.0,0.0,7575,-111.81957647442596,-108.85015389654195,-163.11731824433588,-97.10385894240811
38,0,0,150480,0,0,5911,5.106944561004639,0.12121476978063583,-0.01897982321679592,0.0,0.0,0.0,0.0,7575,-111.99175664611147,-109.00638962898714,-163.11731824433588,-97.10385894240811
39,0,0,154440,0,0,5889,5.081461429595947,0.09047380834817886,-0.016425644978880882,0.0,0.0,0.0,0.0,7575,-111.99175664611147,-109.00638962898714,-163.11731824433588,-97.10385894240811
40,0,0,158400,0,0,5868,5.06155252456665,2.149085760116577,-0.0047179171815514565,0.0,0.0,0.0,0.0,7575,-111.99175664611147,-109.00638962898714,-163.11731824433588,-97.10385894240811
41,0,0,162360,0,0,5841,5.058125972747803,0.2804358899593353,-0.015294619835913181,0.0,0.0,0.0,0.0,7575,-111.92547342038665,-109.00638962898714,-163.11731824433588,-97.10385894240811
42,0,0,166320,0,0,5805,5.046063423156738,0.11687897890806198,-0.009322073310613632,0.0,0.0,0.0,0.0,7575,-111.92547342038665,-109.00638962898714,-163.11731824433588,-97.10385894240811
43,0,0,170280,0,0,5793,5.027360439300537,0.06277956068515778,-0.016695905476808548,0.0,0.0,0.0,0.0,7575,-111.92547342038665,-109.00638962898714,-163.11731824433588,-97.10385894240811
44,0,0,174240,0,0,5776,5.009857654571533,0.34241366386413574,-0.005568996537476778,0.0,0.0,0.0,0.0,7575,-111.92547342038665,-109.00638962898714,-163.11731824433588,-97.10385894240811
45,0,0,178200,0,0,5763,5.007073402404785,0.18813587725162506,-0.011572099290788174,0.0,0.0,0.0,0.0,7575,-111.92547342038665,-109.00638962898714,-163.11731824433588,-97.10385894240811
46,0,0,182160,0,0,5744,4.997864246368408,0.1534940004348755,-0.012161782011389732,0.0,0.0,0.0,0.0,7575,-112.3030578832735,-109.00638962898714,-163.11731824433588,-97.10385894240811
47,0,0,186120,0,0,5727,4.985428810119629,0.804783046245575,-0.0072463322430849075,0.0,0.0,0.0,0.0,7575,-112.3030578832735,-109.00638962898714,-163.11731824433588,-97.10385894240811
48,0,0,190080,0,0,5718,4.98337459564209,0.17012667655944824,-0.015168480575084686,0.0,0.0,0.0,0.0,7575,-112.3030578832735,-109.00638962898714,-163.11731824433588,-97.10385894240811
49,0,0,194040,0,0,5689,4.977468490600586,0.8528584837913513,-0.008567656390368938,0.0,0.0,0.0,0.0,7575,-99.59834578936305,-103.66095665774154,-163.11731824433588,-41.506228802325765
